Id	Learning goal	Title 	Time	Location	Tools	Groupsize	Introduction	Main	Examples	Tips	Reflection	Extra	
B0101	utvikle og bruke formålstenlege strategiar for subtraksjon i praktiske situasjonar	Pakkeleken	5,15	Inne/ute	Terning, pakker/papirlapper	4–6	I denne aktiviteten skal elevene leke pakkeleken der målet er å samle så mange pakker som mulig. Her får de en forståelse av subtraksjon i hverdagslige situasjoner, da man hele tiden må gi fra seg pakker, og tilslutt regne ut hvor mange man har igjen.	1. Gi alle elevene like mange pakker (f.eks. 3 hver).   2. Én og én kaster terningen på rundgang.   3. Hvis man får 6, kan man ta én pakke fra en annen i gruppa.   4. Fortsett i 3 minutter med stoppeklokke.  5. Når tiden er ute, ser man hvem som har flest pakker.	Deles inn i grupper der alle har et likt antall pakker. Først skal man kaste en terning. Hvis man får 6 på terningen så kan man ta en pakke fra en annen. Etter 3 min går stoppeklokka og pakkeleken er ferdig. Hvem står igjen med flest? Hvor mange pakker mistet du?	Du kan bytte ut pakker med pinner, kort eller lapper for å gjøre det enklere. Du kan også bruke to terninger og kun ta pakker hvis summen blir 12.	- Hvor mange pakker startet du med?   - Hvor mange pakker mistet du?		 
B0201	utforske og forklare samanhengar mellom addisjon og subtraksjon og bruke det i hovudrekning og problemløysing	Rødt og grønt lys 	15	Ute	Ingen	Alle	I denne aktiviteten skal elevene leke en variant av rødt og grønt lys der man starter med 10 poeng, og hvis de blir tatt - mister de ett poeng. 	 1. Regler: Alle starter med 10 poeng. Hvis en elev blir “tatt” i bevegelse, mister de 1 poeng og må gå tilbake til startlinjen. 2. Startposisjon: Elevene stiller seg på en felles startlinje i den ene enden av lekeområdet. Den som leder: En elev (eller læreren) står i motsatt ende med ryggen til gruppen og roper: “Rødt og grønt lys!” 3. Bevegelse: Når utsagnet er sagt, snur personen seg brått. I løpet av det korte øyeblikket før vedkommende snur seg, kan de andre elevene bevege seg fremover – men de må stå helt stille når blikket vender mot dem! 4. Observasjon og reaksjon: Den som leder roper ut navnene på elever som blir sett i bevegelse. 5. Poengtrekk og retur: Elever som blir “tatt” mister 1 poeng og må gå tilbake til startlinjen. Vinner: Første elev som klarer å nå frem til lederen uten å bli tatt, vinner runden – og kan overta rollen som den som leder neste gang.			- Hvordan holdt du oversikt over poengene dine?  -Var det lettere å få mange poeng ved å være forsiktig eller å ta sjanser? -Hvordan hjalp regning deg i leken?		
B0301	utforske multiplikasjon ved teljing	Lengdehopp	15	Ute	Tape/ kritt 	2	I denne aktiviteten skal elevene bruke kroppen for å utforske multiplikasjon: Hvor langt kommer de med ett hopp? Hva skjer hvis de hopper to eller tre ganger? Ved å måle og sammenligne lengdene får de erfare hvordan multiplikasjon fungerer i praksis.	1. La elevene hoppe én gang og måle hvor langt de kommer.   2. Noter lengden.   3. Be elevene hoppe to ganger og måle total lengde.   4. Sammenlign: Er dette omtrent dobbelt så langt?   5. Fortsett med tre og fire hopp for å se mønster.  6. Snakk om hva som skjer når man gjentar samme lengde flere ganger.	Elev A hopper 80 cm én gang. To hopp gir 160 cm. Tre hopp gir 240 cm. Eleven oppdager at det er en multiplikasjon med 2 og 3.	Bruk meterbånd eller legg ut merkelapper for å gjøre lengdemåling mer visuell. La elevene tegne en "hopp-tabell" i etterkant.	- Hvordan visste du at hoppene ble dobbelt eller trippelt så lange?  -Hva betyr det å hoppe tre ganger så langt? - Hvordan henger dette sammen med ganging?		
B0401	eksperimentere med multiplikasjon og divisjon i kvardagssituasjonar	Frakt over lava!	15	Ute	Konkreter	5-6	Elevene skal utforske multiplikasjon og divisjon gjennom en lek der de frakter gjenstander over et fiktivt lavagulv. Elevene skal, i grupper,  teste hvordan ulike fordelinger påvirker antall turer som trengs for å flytte et bestemt antall gjenstander. Målet er å erfare hvordan antall personer og antall gjenstander henger sammen med hvor mange ganger man må løpe.	1. En elev står alene på én side, resten av gruppa på den andre.  2. Den ene eleven må løpe frem og tilbake 4 ganger for å frakte 4 gjenstander én og én.  3. Neste runde: Del gruppa i to, f.eks. 2 på hver side, og frakt 4 gjenstander.  4. Hver elev på avsender-siden tar én gjenstand, og løper fram og tilbake én gang.  5. Diskuter: Hvor mange løp totalt? Hvordan endres det med ulike fordeling?  6. Prøv nye varianter og lag oversikt.	1 person frakter 4 gjenstander = 4 turer. Eksempel 2: 2 personer frakter 4 gjenstander = 1 tur hver. Total innsats kan sammenlignes.	Bruk kritt eller tau som markering for lavagulv. .	- Hvordan kan vi samarbeide smartest?  -Hvilken løsning gir færrest turer?  - Hva lærte du om sammenhengen mellom antall personer og arbeidsmengde?		
B0501	representere multiplikasjon på ulike måtar og omsetje mellom dei ulike representasjonane	Multiplikasjonsbrett	15	Ute	Kritt/ Tape	Alle	Elevene skal bruke kroppen til å utforske multiplikasjon ved å lage figurer i et rutenett.	1. Lag et stort rutenett på bakken med kritt eller teip.  2. Gi en instruks som «Still dere i 3 rader med 4 i hver».  3. Elevene plasserer seg i rutene.  4. Spør: Hvor mange står i området? Hvordan fant dere det ut?  5. Repeter med ulike antall rader og kolonner.  6. Diskuter hvordan man kan finne svaret uten å telle én og én.	Elevene lager 3 rader med 4 i hver = 12 personer totalt. Neste oppgave er 5 rader med 2 i hver = 10. De ser at det er 3×4 og 5×2.	Varier ved å bruke trekantformasjoner, L-formasjoner, eller tomme ruter for å vise "hull". La elevene tegne rutenettet og skrive regnestykket etterpå.	- Hvordan hjalp rutenettet deg med å forstå gangestykker?  - Hvordan er dette annerledes enn å bare bruke tall?  - Kan du forklare 3×4 som både rader og som summering?		
B0601	bruke kommutative, assosiative og distributive eigenskapar til å utforske og beskrive strategiar i multiplikasjon	Hent x 2 	15	Ute	Ingen	2-3	Elevene skal hente gjenstander i grupper og utforske hvordan mengder fordeler seg likt i multiplikasjon.	1. Læreren sier: «Alle henter to ting hver.» Elevene går og henter.  2. Neste runde: Elevene går sammen to og to og henter 4 ting til sammen.  3. Siste runde: Elevene går sammen tre og tre og henter 6 ting til sammen.  4. Diskuter: Hvor mange hentet hver elev? Var det samme? Hvorfor?	Elev A henter 2 ting alene. Så går A sammen med B, og de henter 4 til sammen (= 2 hver). Til slutt er A med B og C, og de henter 6 til sammen (= fortsatt 2 hver).	Bruk konkreter som er lett å telle og dele opp. La elevene lage tegning eller tabell etterpå: 1×2, 2×2, 3×2.	- Klarte du å finne ut hvor mange hver hentet – uten å telle alt? Hvordan ser du at 3×2 = 2×3?  - Hva skjer hvis vi snur antall elever og antall ting per elev?  - Hvordan hjelper det å tenke på grupper?		
B0701	beskrive likskap og ulikskap i samanlikning av storleikar, mengder, uttrykk og tal og bruke likskaps- og ulikskapsteikn	Detektiv- Hvem er hvem?	5,15	Inne	Rollelapper	Alle	Elevene skal bruke dialog og observasjon for å finne ut hvem som har samme rolle som dem – uten å si det rett ut.	1. Gi hver elev en hemmelig rolle (f.eks. politimann, postmann, tyv, prinsesse).  2. Elevene går rundt og stiller spørsmål til hverandre i 5,15 minutter – uten å si nøyaktig hva de er.  3. De kan gi hint og svare på spørsmål.  4. Etter 5 minutter spør læreren: «Hvem tror du er lik deg?»  5. Elevene stiller seg i grupper etter hva de tror.  6. Avslør rollene og diskuter hvem som var like og ulike.	Elev A spiller tyv og spør: «Er jobben din lovlig?», «Bruker du uniform?» Elev A gjetter at en annen elev også er tyv fordi de sa de jobber om natten.	Bruk tydelige rollekort og øv på begreper som "lik", "ulik", "samme som", "forskjellig fra". Variér med mengder eller tall neste gang (f.eks. brøker, mengde kort).	- Hvordan visste du hvem som hadde lik rolle som deg?  - Hvilke uttrykk og svar brukte dere for å sammenligne? - Hvordan er det å finne ut likhet uten å si det direkte?  - Hva betyr «lik» og «ulik» i matte?		
B0801	utforske likevekt og balanse i praktiske situasjonar, representere dette på ulike måtar og omsetje mellom dei ulike representasjonane	Drakamp  	15	Ute	Ingen	Alle	Elevene skal utforske balanse ved å være med i en konkurranse mellom to lag med ulikt antall elever.	1. Del klassen i to lag: Lag 1 har 5 elever, lag 2 har 3 elever.  2. La elevene konkurrere i en fysisk oppgave som krever balanse (f.eks. tautrekking, dra en matte, skyve en gjenstand).  3. Øk antallet i lag 2 med én elev for hver runde.  4. Etter hver runde diskuterer klassen hva som skjedde.  5. Bruk begreper som balanse, likevekt, ujevn fordeling.  6. Til slutt: 5 mot 5 – observer hva som skjer når det er like mange.	Lag 1 (5 elever) trekker lett mot lag 2 (3 elever). I neste runde: 5 mot 4 – fortsatt ubalanse. I siste runde: 5 mot 5 – ingen av lagene klarer å dra de andre – balanse!	Bruk tau, matter eller kjegler. La elevene tegne hva som skjer på en vektstang eller med piler som viser styrke.	- Hva betyr likevekt i denne leken?  - Hva skjedde da det var like mange på hvert lag?  - Hvordan kan vi forklare det med en tegning  eller med piler som viser styrke?		
B0901	bruke ulike måleiningar for lengd og masse i praktiske situasjonar og grunngi valet av måleining 	Gjett vannmengden!	15	Inne/ute	Fylte kopper, Dl-mål, Litermål, Bøtter	3-4	Elevene skal utforske ulike måleenheter for volum ved å anslå og diskutere hvor mye vann forskjellige beholdere rommer.	1. Læreren setter ut beholdere med ulik størrelse fylt med vann (f.eks. kopp, dl-mål, bøtte).  2. Gi referanser: f.eks. “Bøtta rommer maks 10L.”  3. Elevene skal i grupper anslå hvor mye vann hver beholder rommer, i dl eller liter.  4. Be elevene forklare hvorfor de tror det de tror – bruk begrep som dl, L, forhold, størrelser.  5. Snakk sammen i klassen etterpå: Hvilke gjetninger var gode? Hvorfor?	Elevgruppe A mener koppen rommer 2 dl fordi de vet en vanlig kopp er omtrent 2/10 av en liter. De bruker det til å anslå hvor mange kopper som trengs for å fylle en 1L-karaffel.	La elevene bruke målebeger etterpå for å teste egne anslag. Variér med tomme og fylte beholdere. Bruk sand eller ris istedenfor vann om ønskelig.	- Hvordan visste dere hvilken enhet som passet best?  - Hvorfor valgte dere å bruke liter eller desiliter? - Hvordan hjalp det å ha referansepunkter?		
B0902	bruke ulike måleiningar for lengd og masse i praktiske situasjonar og grunngi valet av måleining 	Bygg papirtårn!	15	Inne	Papir, teip, linjal 	3–4	I denne aktiviteten skal elevene bygge et papirtårn for å øve på å måle høyde med ulike lengdeenheter og begrunne valg av måleenhet.	1. Del klassen i grupper på 3–4 elever. 2. Gi hver gruppe flere ark og litt teip. 3. Sett en tidsgrense på 10 minutter. 4. Elevene bygger et frittstående tårn av arkene. 5. Be hver gruppe måle tårnets høyde først i centimeter (cm) og deretter i millimeter (mm) eller meter (m) om mulig. 6. Gruppene forklarer hvilket måleverktøy og hvilken enhet de valgte, og hvorfor.			- Hvilken enhet brukte dere først, og hvorfor valgte dere den? - Var det vanskeligere å måle i mm enn i cm? - Hvordan hjalp måleverdiene dere å sammenligne tårnene i gruppa?		
B1001	eksperimentere med og forklare plasseringar i koordinatsystemet 	Speideren	15	Ute	Kritt/teip, musikk	Alle	Elevene beveger seg fritt i et stort koordinatsystem og beskriver posisjonen sin i forhold til læreren i origo.	1. Lag et stort rutenett på bakken (f.eks. 5x5 ruter). Læreren står i origo (nede til venstre).  2. Spill musikk – elevene får bevege seg fritt (løpe, danse, hoppe) i rutenettet.  3. Når musikken stopper, må alle stå stille.  4. Læreren peker på elever og spør: «Hvor står du i forhold til meg?»  5. Elevene svarer med egne ord (f.eks. «nærme, til høyre» eller «langt unna på skrå»).  6. Snakk sammen: Hva betyr det å være “nærme”, “til høyre”, “midt i”?	Elev A sier: «Jeg står langt unna, nesten helt øverst til høyre!» Elev B sier: «Jeg er nærme deg, bare én rute rett opp.»	Bruk også begreper som “foran”, “bak”, “på linje med” hvis det passer. Senere kan man innføre tallpar: (x,y).	- Forklarte du plasseringen din så andre kunne skjønne hvor du sto?  - Hvilke ord brukte du for å vise retning eller avstand?  - Hva gjør det lettere å forstå hvor noen er i rutenettet?		
B1101	lage og følgje reglar og trinnvise instruksjonar i leik og spel knytte til koordinatsystemet 	Stolleken 	15	Inne	Stoler	Alle	Klasserommet gjøres om til et koordinatsystem hvor elevene konkurrerer om å finne riktig koordinat.	1. Plasser stoler i rader og kolonner som et koordinatsystem (f.eks. 4x4).  2. Forklar at hver stol har et koordinat (f.eks. (2,3)).  3. La elevene bevege seg fritt i rommet.  4. Når læreren sier et koordinat, skal elevene finne stolen og sette seg så fort de kan.  5. Den som setter seg først, får poeng eller ros.  6. Gjenta med ulike koordinater og øk vanskelighetsgraden etter hvert.	Læreren sier: “Finn (3,2)!” – Elev A løper til rad 3, kolonne 2 og setter seg først.	Lag tallakse på gulvet eller veggen så det er tydelig hva som er x- og y-retning. Øv først i rolig tempo før konkurransedelen.	- Hvordan fulgte du instruksjonene for å finne riktig koordinat?  - Var det lett å forstå retningen?  - Hvordan hjalp det å tenke i rader og kolonner?		